date,close
2015-01-02,171.09368896484375
2015-01-05,168.0037841796875
2015-01-06,166.42135620117188
2015-01-07,168.49517822265625
2015-01-08,171.48513793945312
2015-01-09,170.1108856201172
2015-01-12,168.7783966064453
2015-01-13,168.3036346435547
2015-01-14,167.28758239746094
2015-01-15,165.75503540039062
2015-01-16,167.9288330078125
2015-01-20,168.2870330810547
2015-01-21,169.13648986816406
2015-01-22,171.65170288085938
2015-01-23,170.71058654785156
2015-01-26,171.11032104492188
2015-01-27,168.85330200195312
2015-01-28,166.6878662109375
2015-01-29,168.22866821289062
2015-01-30,166.11318969726562
2015-02-02,168.17039489746094
2015-02-03,170.60227966308594
2015-02-04,169.95269775390625
2015-02-05,171.66839599609375
2015-02-06,171.19363403320312
2015-02-09,170.42747497558594
2015-02-10,172.24305725097656
2015-02-11,172.343017578125
2015-02-12,174.00038146972656
2015-02-13,174.71661376953125
2015-02-17,174.99147033691406
2015-02-18,175.0081024169922
2015-02-19,174.88319396972656
2015-02-20,175.93255615234375
2015-02-23,175.90760803222656
2015-02-24,176.40728759765625
2015-02-25,176.2574462890625
2015-02-26,176.04920959472656
2015-02-27,175.44952392578125
2015-03-02,176.5572509765625
2015-03-03,175.83261108398438
2015-03-04,175.09141540527344
2015-03-05,175.28294372558594
2015-03-06,172.81773376464844
2015-03-09,173.5339813232422
2015-03-10,170.71893310546875
2015-03-11,170.3191375732422
2015-03-12,172.4845733642578
2015-03-13,171.42684936523438
2015-03-16,173.71719360351562
2015-03-17,173.2008056640625
2015-03-18,175.28294372558594
2015-03-19,174.48341369628906
2015-03-20,176.0236053466797
2015-03-23,175.68057250976562
2015-03-24,174.6934051513672
2015-03-25,172.13351440429688
2015-03-26,171.7235565185547
2015-03-27,172.1167449951172
2015-03-30,174.21656799316406
2015-03-31,172.6939697265625
2015-04-01,172.08331298828125
2015-04-02,172.7024383544922
2015-04-06,173.8651885986328
2015-04-07,173.40504455566406
2015-04-08,173.99066162109375
2015-04-09,174.76028442382812
2015-04-10,175.71401977539062
2015-04-13,174.9192657470703
2015-04-14,175.25389099121094
2015-04-15,176.04029846191406
2015-04-16,175.9900665283203
2015-04-17,173.965576171875
2015-04-20,175.5550994873047
2015-04-21,175.34597778320312
2015-04-22,176.20762634277344
2015-04-23,176.65103149414062
2015-04-24,177.06089782714844
2015-04-27,176.32472229003906
2015-04-28,176.8852081298828
2015-04-29,176.15744018554688
2015-04-30,174.39222717285156
2015-05-01,176.2828826904297
2015-05-04,176.78485107421875
2015-05-05,174.76028442382812
2015-05-06,174.0408477783203
2015-05-07,174.73521423339844
2015-05-08,177.0357666015625
2015-05-11,176.1908721923828
2015-05-12,175.66384887695312
2015-05-13,175.69728088378906
2015-05-14,177.52940368652344
2015-05-15,177.7217559814453
2015-05-18,178.27392578125
2015-05-19,178.21539306640625
2015-05-20,178.08990478515625
2015-05-21,178.60853576660156
2015-05-22,178.1819305419922
2015-05-26,176.26612854003906
2015-05-27,177.93931579589844
2015-05-28,177.73858642578125
2015-05-29,176.6342315673828
2015-06-01,176.9939727783203
2015-06-02,176.81834411621094
2015-06-03,177.28680419921875
2015-06-04,175.78932189941406
